id_produccion,id_parcela,id_cultivo,id_zona,fecha_operacion,cantidad_jornales,hectareas,costo_insumo,descuento_pct,canal,metodo_pago,calificacion,rendimiento_kg,observacion
165,76,5,7,2026-04-15,4,5.19,"1301,39",10,PrEsEnCiAl,Tarjeta, 1 ,1899.12,  Cliente frecuente 
166,34,1,5,2026-01-21,8,0.53,"904,42",,presencial,Efectivo,2,439.41,Revisar
167,67,6,6,16-01-2026,7,4.61,918.69, 15 ,WhatsApp,Tarjeta,2, 1704.86 ,
168,5,7,6,2026-04-23,2,9.12,1011.39,10,App,Yape,5,3369.96,
169,79,4,4,2026-04-24,5,5.5,1637.63,12,Telefono,  Yape ,4,1970.69,Cliente frecuente
170,1,6,3,2026-05-13,7,4.85,918.69,10,Web,Plin,2,1940.18,Promocion
171,64,3,7,2026-05-21,5,"6,96",676.84,20,Web,Yape,5,2367.59,
172,40,6,5,,6,8.6,918.69,5,Presencial,Yape,3,2987.77,OK
173,72,5,5, 2026-05-09 ,7,2.63,1301.39,5 aprox,WhatsApp,Transferencia,3,961.15,OK
174,25,7,2,2026-01-02,7,8.61,1011.39,10,WhatsApp,Transferencia,5,2683.22,
175,23,5,6,10/06/2026,5,7.72,1301.39,0,app,Tarjeta,4,2636.11,
176,78,3,3,22/01/2026,5,3.15,676.84, 12 ,Telefono,Efectivo,5,1007.26,Revisar
177,85,4,6,2026-06-04,4,11.36 aprox,1637.63,0,App,Transferencia,2,3626.3,Revisar
178,32,4,2,2026/05/27,6,7.88,1637.63,0,Web,Transferencia,2,"2899,18",OK
179,72,7,2,2026-03-25,7,9.82,1011.39,5,presencial,Yape,2,3445.29,
180,78,9,2,2026-03-24,7,6.47,664.25,0,Telefono,Efectivo,5,2022.29,OK
181,3,6,7,2026-05-08,5,,918.69,12,Telefono,Efectivo,5,1854.22,Promocion
182,72,8,6,2026-04-23,4,,573.46,12,Presencial,,3 aprox,3905.37,Promocion
183,13,6,6,21-05-2026,3, 1.43 ,918.69 aprox,0,Web,tarjeta,2,2726.63,Cliente  frecuente
184,36,1,7,2026-06-27,5,3.59,904.42,10,App,Transferencia,2,1522.58,Promocion
185,51,5,3,2026-05-16,4,8.83,1301.39,0,WhatsApp,Efectivo,5,"2912,2",OK
186,1,6,4,2026-02-15,1,9.32,918.69,8,App,Plin,4,,Promocion
187,78,9,4,2026-06-25,2,2.82,664.25,15,TELEFONO,Yape,1,818.01,OK
188,74,7,6,2026-06-02,7,9.2,1011.39,20,Telefono,Transferencia,5,3151.67,
189,85,1,7,2026-05-20,,10.17,904.42,5,App,Transferencia,3,,
190,77,2,1,15/04/2026,7,5.05,722.17,20,Telefono,Tarjeta,2, 1868.96 ,Cliente frecuente
191,45,7,3,2026-04-27,5,3.97,1011.39,15,WHATSAPP,Yape,3,1659.86,Promocion
192,80,9,2,2026-05-09,1,11.2,664.25,0,App,Yape,2,3654.01,Cliente frecuente
193,48,3,6,2026-05-22,3 aprox,4.78,676.84 aprox,12,Presencial,Plin,3,1644.41,
194,7,6,3,13-01-2026,1,9.62,918.69,,Telefono,Efectivo,5,3123.37,Promocion
195,23,1,5,2026/03/03,8,6.51,904.42,0,WhatsApp,Plin,5,2239.07,Promocion
196,42,2,6,2026-02-06,5,5.6,722.17,0,Web,,4,1885.85,OK
197,77,7,3,2026-05-07,6,6.63,1011.39,0,App,Transferencia,, 2280.05 ,Promocion
198,23,2,2,2026-05-12,7,9.66,722.17,0,App,Yape,5,3156.01,
199,23,8,6,2026-05-08,8,2.16,S/ 573.46,0,PrEsEnCiAl,Tarjeta,2,775.64,
200,7,7,1,2026-05-18,3,10.22, 1011.39 ,0 aprox,App,Yape,5,3498.22,OK
201,41,6,4,2026-03-01,3,6.7,918.69,10,Presencial,Plin,4,,OK
202,7,9,4,2026-03-03,3,5.39,664.25,8,Web,Transferencia,1,1873.98,OK
203,64,9,1,2026/03/11,8,"5,99",664.25,0,Presencial,Plin,3,2227.87,
204,58,7,1,2026-03-11,6, 7.8 ,1011.39,15,App,Tarjeta,4,2571.01,OK
205,1,2,1,2026-05-07,3,0.51,722.17,0,,Yape,,,
206,81,3,4,2026-06-24,1,7.8,676.84,10,Telefono,Transferencia,3,2270.83,Promocion
207,64,8,7,2026-04-18,3,7.99,573.46,8,App,PLIN,1,2548.3,Cliente frecuente
208,85,7,2,2026-04-10,6,5.49,1011.39,5,App,Efectivo, 2 ,1836.97,
209,70,6,7,2026-01-06,4,7.25,918.69,20,WhatsApp,Plin,,2688.73,Promocion
210,16,3,2,20-03-2026,3,"3,06",676.84,15,Web,Efectivo,3,1696.47,Promocion
211,1,7,1,2026-03-13,5 aprox,10.66 aprox,1011.39,15,Presencial,Plin,3,3744.64,
212,9,2,5,2026-06-13,1,4.02,722.17,12,Telefono,Yape,3,1708.94,Promocion
213,5,1,3,2026-05-09,8,8.61,904.42, 10 ,App,Tarjeta,4,3011.87,Promocion
214,33,6,4,2026-02-26,3,7.91,918.69, 15 ,Presencial,tarjeta,5,S/ 3084.49,
215,38,7,4,2026-06-23,1,1.15,1011.39,12,WhatsApp,Efectivo,4,522.59,Promocion
216,19,2,6,2026-05-11,6,5.64,722.17,15,WhatsApp,Plin,4,2125.04,Revisar
217,52,6,1,2026-01-08,2,2.89,918.69,15,TeLeFoNo,Yape,1,1311.08,Revisar
218,77,6,7,2026-02-03,6,5.94,918.69,,App,Tarjeta,4,2065.74,
219,42,9,3,2026-01-23,7,"11,15",664.25,0,web,Efectivo,3,3512.81,Promocion
220,56,4,7,2026-05-23,6,"5,8",1637.63 aprox,0,WhatsApp,Tarjeta,2,2195.9,
221,28,3,4,27-01-2026,3,"2,66",676.84,10,,Efectivo,5,1071.08,
222,8,2,4,2026-01-25,3,"2,16",722.17,8,WhatsApp,Yape, 1 ,1038.61,Promocion
223,65,5,3,21/02/2026,8,4.8,1301.39,10,Telefono,EFECTIVO,5,1676.99,OK
224,83,8,4,2026-06-13,6,10.12 aprox,573.46,0,WhatsApp,Efectivo,4,3175.81,Revisar
225,45,4,3,2026-02-11, 8 ,1.82 aprox,1637.63,0,Presencial,  Transferencia ,1,759.31,Revisar
226,17,2,2,2026-04-15,2,3.1,722.17,10,  Web ,Efectivo,5, 1243.56 ,Revisar
227,8,6,1,2026-02-07, 1 ,3.65,918.69,8,Web,Efectivo,2,1311.1,Promocion
228,17,7,6,2026-02-01,1,8.26,1011.39,15,Presencial,Efectivo,3,2494.09,
229,55,1,6,2026-02-27,6,2.76,904.42,5,Telefono,Plin,1,1153.54,
230,63,8,7,2026-05-16,6,35.08,573.46,15,Presencial,Yape,5,11219.49,
231,28,9,2,,4,1.76,664.25,8,web,Efectivo, 1 ,863.92,Promocion
232,67,8,2,2026-04-08,5,7.47,573.46,0,Presencial,Efectivo,2 aprox,2385.58,
233,36,9,6,2026-01-03,6,4.91,664.25,0,Presencial,Tarjeta,4,1471.16 aprox,Ok
234,66,8,3,2026-01-26,3,7.73,573.46,0,Web,Yape,5,2208.17 aprox,  Cliente frecuente 
235,48,3,5,2026-06-07,8,7.78,676.84,0,Web,Transferencia,2,2687.35,OK
236,70,4,6,2026-05-01,6,4.06,1637.63,,Web,Plin,5,1727.06,
237,79,9,4,2026-04-13, 2 ,10.45,664.25,8,  Presencial ,Plin,3,3172.49,Promocion
238,29,9,1,2026-06-02,1,11.59,664.25,0 aprox,WhatsApp,Plin,1,3723.47,OK
239,31,7,6,2026-03-22,5,4.69,1011.39,5,WhatsApp,efectivo,3,"1845,87",Promocion
240,51,9,2,05/02/2026,6,9.61,664.25,10,WhatsApp,Tarjeta,1,3249.19,Promocion
241,72,4,4,2026-06-05,2,3.91,1637.63,0,App,Efectivo,3,1620.9,Promocion
242,8,7,5,2026-05-28, 4 ,6.16,1011.39,8,Web,Efectivo,5,2180.31,
243,78,1,2,,3,6.13,904.42,20,Presencial,transferencia,4,2453.68,OK
244,48,5,6,2026-03-17,8,4.96,1301.39,5,Telefono,Tarjeta,3,1975.42 aprox,
245,19,9,5,2026-06-16,6,5.44,664.25,10,Telefono,Transferencia,5,2275.26,
246,1,3,5,2026-04-26,6,2.74,676.84,0,Web,YAPE,3,1191.33,OK
247,35,8,5,2026-05-24,2,6.09,573.46,15,Web,Yape,3,1986.63,OK
248,59,5,6,2026-04-21,8,"5,08",S/ 1301.39,20,Telefono,Efectivo,3,1769.44 aprox,
249,25,5,5,2026-05-27,3,2.01,1301.39,0,Telefono,,3,1012.57,   
250,69,8,1,2026-06-20,5,7.04,573.46,12,Web,efectivo,4,"2421,31",PrOmOcIoN
251,27,9,1,2026-03-10,3,4.94,664.25,10,Telefono,PLIN,4,1820.6,Cliente frecuente
252,30,6,6,2026-01-23,8, 5.34 ,918.69,20,Presencial,Tarjeta,1,1816.18,Cliente frecuente
253,74,6,7,2026-01-26,8, 7.29 ,918.69,0,Web,YAPE,4,2357.33,
254,84,4,3,2026-05-24,3,5.34,1637.63,5,Presencial,  Tarjeta ,3,,
255,36,5,4,2026-05-21,6,10.54, 1301.39 ,12,telefono,Tarjeta,1,3832.58,Promocion
256,54,7,2,2026-05-09,8,6.14,1011.39,20,Web,Plin,4,2183.97,Cliente frecuente
257,11,3,1,2026-04-01,6,4.36,676.84,10,Presencial,Tarjeta,,1785.45,
258,74,6,7,2026-04-09,3,2.6,918.69,0,Web,YAPE,1,949.41,Revisar
259,56,1,5,2026-03-28,3,1.01,904.42,0,App,efectivo,4,624.35,OK
260,5,3,7,2026-05-26,3,2.49,676.84,15,  Telefono ,,4,1067.74,
261,69,3,2,2026-06-27,1,1.51,676.84,0,  Telefono ,Yape,4,622.45,
262,6,2,1,2026-04-14,,8.18 aprox,722.17,8,Telefono,Plin,2,2766.41,Cliente frecuente
263,74,9,2,2026-05-26,7,9.4,"664,25",20,WhatsApp,Plin,5,3147.47,Promocion
264,9,1,2,2026/05/24,4,10.62,904.42,8,Presencial,Tarjeta,5,3613.75,OK
265,75,2,5,2026-01-02,6,6.16,722.17,15,App,yape,2,S/ 1874.37,Promocion
266,50,5,6,2026-01-08,8,9.62,1301.39,8,App,Efectivo,4,3439.49,Revisar
267,46,5,1,2026-02-08,5,8.44,1301.39,0,telefono,Yape,4,2856.28,Cliente frecuente
268,29,1,3,2026-05-24,1,8.95,S/ 904.42,,WhatsApp,Tarjeta,5,3328.02,Cliente frecuente
269,45,6,2,2026-06-24,8,7.64,918.69,0,WhatsApp,Plin,2, 2789.82 ,
270,17,5,6,2026-03-09,8,4.7,1301.39,0,Presencial,Efectivo,,1571.07,Promocion
271,83,7,6,2026-03-25,2,5.57,1011.39,20,Web,Tarjeta,2,1944.57,ok
272,15,9,6,2026-01-06,2,0.71,664.25,12,Telefono,  Tarjeta ,2,474.02,Cliente frecuente
273,4,1,5,2026-06-15,5,3.78 aprox,904.42,12,Telefono,Yape,5,1075.75,Revisar
274,85,5,1,2026-05-24,5,10.06,1301.39,10,Web,Tarjeta,5,3552.83,OK
275,46,4,3,2026-06-20,4,3.78,1637.63,0,WhatsApp,, 2 ,1398.85,
276,66,6,4,2026-03-17,8,"1,05",918.69,0,Telefono,Yape,1,647.87,
277,23,9,6,2026-03-06,7,7.26,664.25,8,App,Transferencia,2,2783.48,Promocion
