id_entrega,id_cliente,id_restaurante,id_zona,fecha_operacion,cantidad_items,distancia_km,costo_pedido,descuento_pct,canal,metodo_pago,calificacion,tiempo_entrega_min,observacion
130,85,6,6,2026-05-13,4,5.85,53.09,0,Web,Efectivo,2,34.54,OK
131,11,8,4,2026-05-20,5,8.24,21.16,10,Web,Transferencia,1,38.44,Promocion
132,22,7,6,2026-01-06,4,10.37,38.69,20,  App ,Plin,2,35.53,Cliente frecuente
133,60,4,2,2026-06-26,8,,23.79,10,WhatsApp,,2,24.32,Revisar
134,1,1,6,2026-03-02,,8.21,40.61,5,  WhatsApp ,Transferencia,4,37.85,
135,51,2,3,2026-02-16,8,5.21,63.63,20,Web,Plin,2,37.1,Revisar
136,17,9,6,2026-04-03,1,5.25,27.67,0,WhatsApp,Efectivo,3,34.87,Revisar
137,44,9,3,2026-02-05,1,9.08,27.67,0,Presencial,Yape,4,31.61,
138,73,8,1,2026-06-21,5,7.57,21.16,0,Presencial,Yape,5,38.05,OK
139,39,4,5,2026-01-25, 7 ,5.44,23.79,15,App,Tarjeta,1,35.01,OK
140,28,4,5,2026-01-03,6,9.52,23.79,15,,Yape,3,S/ 45.75,Cliente frecuente
141,40,7,4,2026-01-02,6,12.34,38.69,0,App,Tarjeta,,47.84,OK
142,2,7,6,14-05-2026,1,13.95,38.69,0 aprox,Telefono,Efectivo,3,45.93,Promocion
143,67,4,3,2026-06-09, 1 ,13.39,23.79,15,Presencial,efectivo,5,46.83,
144,16,9,2,2026-04-08,5,14.72,,10,web,Yape,1,52.33,OK
145,83,3,1,2026-06-21,5,2.88, 46.58 ,15,WhatsApp,Plin,,27.02,Cliente frecuente
146,45,9,2,2026-06-22,6,2.45,27.67,0,App,Transferencia,4,31.64,cliente frecuente
147,14,7,3,2026-01-05,7,6.97,38.69,5,Presencial,Plin,1,31.4,OK
148,5,7,1,04/02/2026,6 aprox,6.69,38.69,0,Web,Transferencia,2,39.4,OK
149,67,7,6,2026-05-28,2,6.06,38.69,10,WhatsApp,,2,30.35,
150,61,5,4,2026-06-09,4,11.05 aprox,31.56,15,Telefono,Efectivo,2,45.95,Cliente frecuente
151,82,1,2,2026-01-07,6,10.29,40.61,8,WhatsApp,Tarjeta,3,41.35,OK
152,55,4,5,2026-02-03,5,6.09,23.79,8,  App ,Yape,5,29.45 aprox,
153,21,2,4,2026-06-09,4,2.03,"63,63",5 aprox,App,Tarjeta,1,23.23,Revisar
154,35,2,2,2026-06-23,2,"14,73",63.63,10,App,Efectivo,2,,revisar
155,39,4,7,2026-05-16,3,10.68,23.79,15,Presencial,Efectivo,4,S/ 28.47,Cliente frecuente
156,51,1,6,2026-06-20,2,9.23,40.61,10,Presencial,Yape,3,33.79,Revisar
157,53,2,5,2026-05-10,7,12.89,63.63,8,WhatsApp,Tarjeta,4,46.78,OK
158,8,7,4,2026-04-07,4,,38.69,12 aprox,whatsapp,Plin,4,32.24,Promocion
159,26,6,5,2026-01-15,7, 10.06 ,53.09,12,WhatsApp,Plin,3,"41,14",
160,19,1,3,2026/01/03,6,5.96,,12,App,Yape,2,23.79,Promocion
161,80,9,1,2026-02-14,4,10.12,"27,67",15,Telefono,Efectivo,2,39.54,OK
162,38,4,3,2026-05-08,3,10.62,23.79,12,Web,Tarjeta,5, 36.85 ,
163,51,4,5,2026-06-14,5, 1.61 ,23.79,0,WhatsApp,Tarjeta,5,66.44,Cliente frecuente
164,44,7,5,,2,10.1,38.69,0,Telefono,Yape,5,,Cliente frecuente
165,54,2,2,2026-06-20,4,12.14,S/ 63.63,10,Telefono,EFECTIVO,,41.19,Revisar
166,66,6,2,,3,11.6 aprox,53.09,8,Presencial,yape,4,52.41,
167,3,3,5,2026-03-02,4,8.7,46.58,20,App,Efectivo,5,S/ 35.41,
168,21,1,6,17/06/2026,5,"4,82",40.61,0,,Efectivo,2,34.98,Revisar
169,37,1,5,2026-03-21,5,7.3,40.61,20,Telefono,Tarjeta,2,42.28,Revisar
170,22,8,6,2026-05-09,3,8.67,21.16, 0 ,Web,Transferencia,2,35.71,
171,43,5,3,2026-01-24,5,2.55,31.56,15,Presencial,Yape,4,30.93,
172,21,6,6,2026/01/22,5,3.24,53.09,10,App,Transferencia,2,26.08,Cliente frecuente
173,12,7,5,2026-05-28,1,10.72 aprox,38.69,5,App,TrAnSfErEnCiA,5,40.26,  OK 
174,55,3,7,2026-01-02,6,8.05,46.58,8,App,Yape,2,30.12,Promocion
175,53,4,2,11-02-2026,1,7.48,"23,79",0,WhatsApp,Yape,4,25.69,OK
176,34,5,4,2026-01-20,8,12.06,31.56,10,App,Yape,1,52.68,Promocion
177,85,7,4,2026-04-03,7,11.69,38.69,12,WhatsApp,Yape,5,125.45,
178,37,1,2,2026-03-14,6,6.79,40.61,8,App,Plin,5,31.2,Cliente frecuente
179,14,8,6,2026-04-10,5,6.36,21.16,,Telefono,Plin,3,43.48,
180,40,2,3,2026-04-18,,5.76,63.63,0,Web,Efectivo,3,43.92,Revisar
181,24,2,2,2026-06-21,8,13.67,63.63,8,Telefono,Plin,3,53.21,Promocion
182,76,2,5,2026-05-14,3,13.23,63.63,10,WhatsApp,Plin,3,46.45,Cliente frecuente
183,44,2,3,2026-05-04,4,8.78 aprox,63.63,8,Telefono,Tarjeta,5,39.9,Revisar
184,69,8,1,26/06/2026,4,13.23,21.16 aprox,10,WhatsApp,,1,34.99,OK
185,64,6,7,2026-05-11,3,4.93,53.09,5,ApP,Transferencia,3,35.61,  OK 
186,53,6,4,2026-01-05,5,2.78,53.09,12,Telefono,Efectivo,4,26.8,Revisar
187,77,1,1,2026-04-05,3,6.65 aprox,40.61,20,Web,Plin,4, 29.31 ,OK
188,2,2,5, 2026-03-11 ,,9.91,63.63,20,WhatsApp,Yape,5,35.64,Revisar
189,34,2,4,2026-01-27,4,2.3,63.63,5,Presencial,Plin,4,22.71,OK
190,79,9,5,2026-05-11,6,2.27 aprox,27.67,10,,Tarjeta,1 aprox,18.37,Promocion
191,33,8,5, 2026-04-28 ,1,13.76,21.16,20,WhAtSaPp,Plin,2, 39.83 ,
192,76,3,2,2026-02-03,1,4.54,46.58,10,Presencial,Transferencia,3,24.25,
193,2,8,3,2026-03-02,2,7.7,21.16,0,Presencial,Transferencia,2,34.89,Revisar
194,82,9,5,2026-03-27,8,6.95,S/ 27.67,20 aprox,WhatsApp,Yape,5, 23.43 ,
195,74,8,7,2026-05-07,8,7.52,21.16,10,Presencial,Tarjeta,3,36.09,OK
196,21,6,7,2026-04-18,6 aprox,14.36,53.09,5,WhAtSaPp,Efectivo,5,,Promocion
197,45,1,5,2026-02-12,3,5.53,40.61,0,Presencial,YAPE,2,29.88,
198,76,3,1,2026-02-10,7,13.43,46.58,0,Web,Tarjeta,2,60.56,Cliente frecuente
199,33,9,4,2026-02-28,4, 12.78 ,27.67 aprox,5,,Efectivo,5,50.04,OK
200,35,7,4,2026-04-11,5,5.76,38.69,8,WHATSAPP,Plin,1,33.68,
201,42,1,7,2026-05-03,6,10.28,S/ 40.61, 0 ,Web,Tarjeta,4,38.02,Cliente frecuente
202,43,6,2,2026-06-04,1,6.78,53.09,15,Presencial,Yape,2,22.15,
203,64,1,4,2026-06-05,6 aprox,9.75,40.61,0,Web,Yape,3,38.5,OK
204,5,8,3,2026-03-21,8,0.91,21.16,15,App,Efectivo, 4 ,13.25,Cliente frecuente
205,52,4,7,2026-01-20,5,3.27,23.79,15,App,Efectivo,2,19.65,
206,69,8,1,2026-03-18,1, 11.08 ,21.16,8,WhatsApp,Transferencia,4,43.48,
207,79,3,3,,7,"10,33",46.58,0,telefono,Yape,2,46.25,Promocion
208,46,2,4,10/01/2026,4,3.62,63.63,0,Presencial,Plin,3,19.13,Cliente frecuente
209,17,5,1,2026-01-12,8,,31.56,8,WhatsApp,,3,36.53,
210,58,1,1,2026/06/07,4,3.67,40.61,15,WhatsApp,Plin,1,34.0,Cliente frecuente
211,84,1,2,2026-03-19,5 aprox,5.76,40.61,8,Telefono,Tarjeta,4,34.51,OK
212,85,4,6,2026-05-24,1,3.2,23.79,20 aprox,WeB,Efectivo,4,20.53,
213,23,9,2,2026-06-19,1,"13,4",27.67,5,App,Tarjeta,5,47.8,Promocion
214,8,5,7,2026-03-10,4,10.52,31.56,15,Telefono,TaRjEtA,4,45.55,
215,17,4,6,2026-04-05,5,7.11,23.79,5,ApP,,3,33.21,Promocion
216,85,9,5,2026-04-10,, 14.21 ,27.67,15,WhatsApp,Tarjeta,1,50.94,OK
217,48,4,4,2026-04-16,2,11.05,23.79,8,,Transferencia,1, 37.09 ,
218,1,9,4,2026-06-28,5,9.61,27.67,10,App,Yape,4,18.63,
219,50,4,2,2026-03-28,2,"0,92",23.79,12 aprox,Web,Transferencia,4,8.46,Promocion
220,3,1,5,2026-04-23,2,10.92,40.61, 0 ,WhatsApp,TaRjEtA,1,44.07,Cliente frecuente
221,21,2,2,2026-06-13,6,5.36,63.63,20,Web,Transferencia,1,24.0,Cliente frecuente
222,42,1,7,2026-05-03,6,10.28,S/ 40.61, 0 ,Web,Tarjeta,4,38.02,Cliente frecuente
223,80,8,2,2026-01-15,3,10.0,21.16,,Web,Plin,3,32.46,Revisar
224,59,2,4,2026-05-16,5,2.56,"63,63",5,WhatsApp,Yape,5,30.26,Revisar
225,66,1,5,2026-05-07,1,3.63,,10,Telefono,Transferencia,3,26.22,Cliente frecuente
226,17,2,6,2026-05-12,2,3.73,63.63,5,Presencial,Efectivo,2,15.8,Cliente frecuente
227,11,7,7,19/06/2026,7,8.87,38.69,8,,Tarjeta,1 aprox,47.06,Revisar
228,53,7,6,11/01/2026,1,4.74,38.69,10 aprox,Web,Transferencia,3,16.48,
229,38,9,7,2026-02-10,6,3.68,27.67,8,App,Tarjeta,5,36.08,Promocion
230,55,8,1,2026-06-12,1,8.12,21.16,0,Web,  Efectivo ,2,40.81,Promocion
231,11,1,1,2026-02-22,4,14.11,40.61,8,Telefono,,5,143.14,Revisar
232,37,7,5,2026-01-20,7,5.62,38.69,20,,Tarjeta,5,22.69,Cliente frecuente
233,73,9,4,2026-01-24,7,3.46,27.67,15,telefono,Efectivo,3,25.84,Cliente frecuente
234,73,8,1,2026-04-17,1,11.4,21.16,0,App,,4,46.49,
235,50,4,7,,4,14.96,"23,79",0,WhatsApp,Yape,4,52.98,OK
236,65,6,4,2026-04-24,3,5.29,S/ 53.09,12,Web,Tarjeta,,26.28,Promocion
237,59,1,2,02/02/2026,3,7.29,40.61,15,App,Plin,4,25.49,OK
238,27,3,7,2026-06-28,8,3.33,,20,App,Efectivo,2,25.9,
239,41,8,7,2026-06-21,7,5.97,21.16,8,Web,Tarjeta,3,33.7,Revisar
240,23,9,6,2026-03-28,7 aprox,"5,98",27.67,12,Presencial,PlIn,4,37.49,OK
241,15,5,1,27-06-2026, 3 ,"12,11",31.56,10,App,EFECTIVO,4,38.82,  OK 
242,16,3,3,2026-02-03,8,11.02 aprox,46.58,0,App,Plin,2,43.4,OK
243,64,2,2,2026-02-24,6,4.7,63.63,0,whatsapp,Transferencia,1,26.06,ClIeNtE FrEcUeNtE
244,3,3,4,2026-03-13,8,9.92,46.58,0,Presencial,EFECTIVO,4,51.37,Cliente frecuente
245,78,4,7,2026-05-25,3,0.56,23.79,0,WhatsApp,Efectivo,5,21.66,OK
246,34,1,7,2026-05-11,2,"12,48",40.61,20,Web,Plin, 1 ,165.42,Cliente frecuente
247,22,6,4,2026-06-13,3,5.07,53.09,5,App,Plin, 3 ,27.15,revisar
248,55,6,4,2026-01-03,8,3.1,53.09,5,Web,Tarjeta,1,31.97,
249,32,9,4,2026-03-13, 1 ,3.01,27.67,0,Telefono,Plin,3,16.08,
250,1,3,4,2026-03-26,5,12.07 aprox,46.58,0 aprox,App,Tarjeta,3,48.9,
251,54,2,5,,5,1.83, 63.63 ,20,WhatsApp,Yape,2,16.9,
252,25,1,5,2026-01-17,5,14.85,40.61,5,,  Yape ,3,62.13,
253,53,6,2,2026-05-27,6,9.81,53.09,20,Telefono,Efectivo,4,36.05,
254,20,7,3,01-04-2026,1,,38.69,0,PrEsEnCiAl,Efectivo,1,"11,94",
255,74,7,5,2026-02-27,5,1.47,38.69,12,Presencial,Yape,4,16.63,Cliente frecuente
256,3,5,5,2026-03-11,5, 4.97 ,31.56,5,App,Efectivo,5,23.29,Cliente frecuente
257,83,5,2,10-03-2026,1,3.61,31.56,20,Web,  Efectivo ,1,"7,73",OK
258,72,4,6,2026-06-19,2 aprox,"2,25",23.79,0,WHATSAPP,Tarjeta,4,22.76,OK
259,32,1,4,19-03-2026,1,"5,84",40.61,10,Presencial,Plin,2,33.45,Revisar
260,37,5,6, 2026-06-25 ,6,5.16 aprox,31.56,10 aprox,Web,Yape,5,32.84,OK
261,45,6,1,2026-01-16,2, 1.43 ,,5,Web,Tarjeta,2,16.01,  Promocion 
262,83,1,4,2026-05-24,7,9.45,40.61,0,Presencial,Plin,2,35.14,Promocion
263,12,5,4,2026-02-02,7,6.31,31.56,8,App,Plin,5,19.9,Revisar
264,74,2,5,2026-05-22,2,14.75,63.63,5,WhatsApp,Plin,5,49.82,
265,84,7,7,2026-05-14,7,12.08,38.69,0,Web,Yape,4,51.01,CLIENTE FRECUENTE
266,53,5,6,2026-01-07,2,1.48,31.56,12,WhatsApp,yape,4,,OK
267,72,8,5,2026-06-09,1,"6,93",21.16,20,WhatsApp,Efectivo,1,19.06,Cliente frecuente
268,75,9,6,,2,11.71,27.67,8,App,Tarjeta,4,39.4 aprox,cliente frecuente
269,61,5,1,2026-02-21,3,5.87,31.56,5,Presencial,tarjeta,2,25.78,Revisar
270,58,1,2,2026-06-09,2,8.24,40.61,10,app,Transferencia,3,S/ 31.06,Revisar
271,10,4,2,2026-01-06,3,6.0 aprox,23.79,5,App,Transferencia,3,26.89,
272,59,3,5,2026-06-01,8,2.82,46.58,15,  WhatsApp ,Efectivo,3,18.7,Revisar
273,77,6,5,2026-01-07,4,,53.09,0,WEB,,3,103.43,Cliente frecuente
274,2,1,1,2026-04-04,3,10.12,40.61,15,web,Plin,4,23.07,
275,57,4,1,2026-02-22,6,10.1, 23.79 ,8,Telefono,Efectivo,2,39.86,OK
276,55,6,4,2026-01-03,8,3.1,53.09,5,Web,Tarjeta,1,31.97,
277,32,5,2,2026-05-16,4,2.12,S/ 31.56,8,Web,Transferencia,5,30.6,
278,23,6,1,2026-06-08,6,5.57 aprox,53.09,10,Web,Transferencia,5,30.8,OK
279,6,8,6,2026-04-08,4,5.17,"21,16",12,Telefono,Transferencia,3,31.75,ClIeNtE FrEcUeNtE
280,54,5,5,2026-01-21,7,"9,32", 31.56 ,0,WhatsApp,,3,35.32,OK
281,38,1,3,02/06/2026,8,10.66,40.61,12,Telefono,Plin,1 aprox,51.56,
282,29,3,4,2026-05-20,3,7.4,46.58,12,web,Tarjeta,2,S/ 36.55,PrOmOcIoN
283,73,6,4,2026-02-12,5,,53.09,20,App,Transferencia,3,30.32,
284,79,6,4,2026-03-14,5,12.48,53.09,0,Web,Yape,,39.34,
285,12,1,5,2026-06-28,,2.91,40.61,12,Presencial,yape,3,30.75,OK
286,52,5,1, 2026-01-14 ,6,5.07,31.56,20,Presencial,Yape,5,21.51,ok
