id_venta,id_cliente,id_producto,id_tienda,fecha_operacion,cantidad_unidades,precio_venta_unitario,costo_unitario,descuento_pct,stock_inicial,stock_final,merma_unidades,canal,metodo_pago,monto_venta_soles,margen_venta_soles,observacion
20,8,5,7,02-03-2026,4,S/ 5.25,3.16,5,79,75,0,Delivery local,Plin,39.08,24.72,Revisar stock
21,72,4,7,2026-06-25,48,3.85,2.27,0,78,30,0,Mostrador,Yape, 405.43 ,359.14,Cliente frecuente
22,69,12,1,2026-02-03,60,5.11,3.37,5,226,166, 0 ,Delivery local,Transferencia,426.32,351.72,OK
23,89,6,6,2026-02-14,240,6.51,4.43,0,365,125,0,Delivery local,Tarjeta,1066.63,590.43,Revisar stock
24,4,6,3,2026-05-07,50,7.1,4.33,5,94,44,0,TeLeFoNo,tarjeta,S/ 279.92,"198,26",ClIeNtE FrEcUeNtE
25,53,12,4,2026-03-06,60,5.33 aprox,3.31,5,81,,3,Mostrador,Yape,524.32,S/ 428.82,Cliente frecuente
26,53,12,4,2026-03-06,60,5.33 aprox,3.31,5,81,,3,Mostrador,Yape,524.32,S/ 428.82,Cliente frecuente
27,39,1,1,2026-03-18,6,27.39,S/ 19.79,10 aprox,194,188,0 aprox,Telefono,Transferencia,88.38,0.61,revisar stock
28,73,1,4,2026-03-04,26,26.23,18.41,3,81,55,0,telefono,Plin,736.41,4.67,OK
29,65,10,1,2026-02-19,29,9.75,S/ 5.67,5,227,196,2,Telefono,YAPE,251.59,157.82,
30,26,6,4,2026-02-17,16,6.59 aprox,4.47,12,241,225,0,Mostrador,Plin,96.32,56.29,Cliente frecuente
31,25,2,6,2026-05-25,22,4.92,3.39,3,183,161,0,WhAtSaPp,Efectivo,108.01,77.0,Promocion
32,11,12,1,2026-01-22,29,4.98,3.35,0,52,23,0,WHATSAPP,EFECTIVO,183.34,144.96,
33,11,5,1,2026-04-06,63,5.13, 3.12 ,0,179,116,0,Telefono,Efectivo,354.08,260.64,Promocion
34,9,6,4,2026-02-09,38,6.79, 4.55 ,12, 103 ,65,,Delivery local,Tarjeta,273.24,212.01,
35,67,12,1,2026-04-27,,5.06,3.38,8,69,58,0,Telefono,Transferencia,"77,98",46.99,
36,4,1,1,2026-02-22,290,26.57,18.66,3,499,209,0,Telefono,Plin,2493.24,85.31,OK
37,60,7,2,2026-05-26,63,14.4,9.71,5,223,160,0,WhatsApp,Plin,445.96,166.51,Revisar stock
38,30,4,3,,30,3.67,2.26,12, 121 ,91,0,WhAtSaPp,Efectivo,194.46,193.01,
39,42,7,3,2026-02-12,8 aprox,14.65,10.18,0, 253 ,245,0,,Tarjeta,87.74,27.79,
40,78,1,7,2026-04-17,25 aprox,26.25,19.81,5,90,65,0,WhatsApp,Tarjeta,217.71,-53.34,OK
41,60,4,3,2026-06-08,62,3.62,2.23,0,133,71,0,Delivery local,PlIn,443.33 aprox,353.23,Cliente frecuente
42,28,7,6,2026-03-14,61,14.94,9.93,0,274,213,0,Mostrador,Efectivo,406.56,105.9,
43,47,10,5,2026-03-18,62,9.79,5.87,15,269,207,0,Telefono,Transferencia,299.18,160.95,Revisar stock
44,31,7,1,2026-05-08,26,15.94,9.93,0,179,153,0,Telefono,Transferencia,"210,95",S/ 64.51,
45,44,1,7,2026-05-16,67,26.88,18.74,15,120,53,0,WhatsApp,Yape,518.27,1.14 aprox,Promocion
46,78,9,5,11-03-2026, 4 ,S/ 9.57,6.93,0,98,94,0,Delivery local,Yape,65.59,17.86,Cliente frecuente
47,10,2,4,2026-04-06,55,,3.44,5,,64,0,Telefono,Transferencia,373.47,308.84,
48,35,6,6,2026-06-08,6,6.64,4.31,0,102,93,3,  Telefono ,Yape,59.12,28.02,Revisar stock
49,76,7,1,2026-05-19,47,S/ 15.37,10.18,15,276,229,0,Mostrador,Transferencia,253.78,,
50,4,9,2,2026-05-14,29,9.58,6.73,10,201,172,0,Telefono,Yape,S/ 219.96,148.05,Promocion
51,45,1,4,2026-05-14,53,26.7,18.75,12,282,229,0,Telefono,Plin,431.03,-14.68,PROMOCION
52,42,1,6,2026-04-19,19,28.71,19.89,0,147,128,0 aprox,  Delivery local ,Transferencia,179.19,-39.25,
53,86,6,3,2026-01-21,55,6.9,4.48,0,159,104,0,Delivery local,Plin,411.76,285.82,Cliente frecuente
54,71,4,1,2026-02-13,14,3.53, 2.28 ,3,151,,0,WhatsApp,Yape,117.15,S/ 101.93,
55,88,8,2,2026-04-25, 9 , 2.93 ,1.61 aprox,15,121,112,0,WhatsApp,plin,53.82,"59,91",Revisar stock
56,32,5,1,2026-03-28,5,5.02,3.35,5,141,136,0,Telefono,EfEcTiVo,31.33,31.31,Promocion
57,39,4,4,2026-02-26,69,3.71,2.27,15,189,118,2,Mostrador,Transferencia,578.97,599.21,
58,63,11,2,2026-03-07,31 aprox,7.64,4.87,0,222,189,2,WhatsApp,Efectivo,244.12,144.29,Revisar stock
59,16,10,3,18-04-2026,9, 9.29 ,5.94,0,238, 226 ,3,WHATSAPP,Efectivo,72.06,25.29,Cliente frecuente
60,4,9,6,2026-04-20, 53 ,9.63,6.9,,89,36,0,mostrador,Plin,514.72,S/ 315.52,
61,52,3,7,2026-04-28, 68 ,12.5,7.97,10,289,218,3,Delivery local,efectivo,274.23,12.31,OK
62,81,1,6,2026-05-02,37,26.75,19.09,0,66,29,0,Mostrador,Transferencia,374.02,8.59,Revisar stock
63,86,1,4,2026-01-19,50,27.66,19.85,15,110,57,3,Mostrador,Transferencia,343.86,-155.55,Promocion
64,53,4,3,17/02/2026,43,3.55,"2,2",5,219,176,0,delivery local,Yape, 257.35 ,225.18,OK
65,76,1,7,2026-04-16,71,27.74,18.51,0,210,139,0,Telefono,Yape,537.6,-103.36,Promocion
66,43,4,5,2026-02-06,54,3.75,2.18,8,103,49,0,WHATSAPP,Efectivo,398.7,358.05,Revisar stock
67,58,8,1, 2026-06-13 ,75,"2,95",1.62,0,265,190,0,Delivery  local,Transferencia,588.19,527.22,
68,73,7,3,26/04/2026,4,14.28,9.64 aprox,5,202,198,0,WHATSAPP,Yape,52.57,9.04,Revisar stock
69,56,12,1,2026-02-13,14,5.49,3.29,,106,91,1,Telefono,Yape,88.51,"43,37",REVISAR STOCK
70,3,1,3,2026-05-10,27,,19.44,12,214,,0,WhatsApp,TRANSFERENCIA,227.73,"-38,0",Promocion
71,43,4,3,2026/02/10,39,3.87,2.2,3,238,194,5,whatsapp,TRANSFERENCIA,267.42,206.08,Promocion
72,11,3,4,02-06-2026,34,13.14,7.85,8,158,124, 0 ,Delivery local,TARJETA,253.08,128.08,
73,80,1,7,2026-05-23,70,29.46, 18.49 ,,83,13,0,,Tarjeta,525.66,-106.48,Revisar stock
74,76,6,6,2026-04-23,66,,S/ 4.37,0,259,192,1,Mostrador,Plin,544.54,397.73,Cliente frecuente
75,23,7,5,04-05-2026,48,14.53, 9.9 ,15,176,128,0,Mostrador,Plin,296.41,106.66,
76,5,10,6,2026-01-17,,9.4,6.03,3,88,15,1,Telefono,Transferencia,517.53,"302,01",Revisar stock
77,70,5,1,2026-06-06,19, 5.16 ,3.22,15,247,228, 0 ,Delivery local,Tarjeta,150.83,120.73,cliente frecuente
78,71,2,5,2026-05-10,45,4.7,3.48,0 aprox,66,21,0,Telefono,Plin,308.31,235.65,
79,10,4,1,2026-03-23,43,3.85,2.22,8,149,106,0,WhatsApp,Transferencia,"298,05",293.62,Promocion
80,25,11,2,2026-02-23,48,,4.68,0,84,35,1,  Mostrador ,Yape,318.76,184.56,OK
81,20,1,4,2026-01-14,75,26.74,18.41,3,293,218,0,  Telefono ,Efectivo,599.56,-57.75 aprox,Revisar stock
82,86,4,7,2026-03-11,50,3.91,2.19,5,196,146,0,Telefono,Yape,S/ 278.29,248.93,Promocion
83,54,2,6, 2026-06-22 ,31,4.92,3.36,0,260,229,0,Mostrador,Tarjeta,839.26,620.68,Cliente frecuente
84,62,11,1,18/06/2026,,7.55,4.56,15,271,210,0,Telefono,Efectivo,391.87,300.46,Revisar stock
85,70,5,1, 2026-06-01 ,26,5.13,3.18,0,196,165,5,WhatsApp,Transferencia,186.56,"148,13",ok
86,21,3,4,2026/02/10,55,13.29,8.37,5,273,217,1,Mostrador,Transferencia,351.4,124.48,Revisar stock
87,86,2,6,2026-03-16,8,5.15,,10,85, 77 ,0,Telefono,  Efectivo ,32.18,43.34,Revisar stock
88,75,12,1,2026-05-11,6,5.07,3.47,3,170,161,3,Delivery local,  Tarjeta ,40.72,15.71,Revisar stock
89,81,2,4,,4,5.12,3.45,0,51,47,0,Mostrador,Efectivo,34.24,22.07,OK
90,47,8,3,2026/03/05,33,2.95,1.71,15,236,203,0,Mostrador,Efectivo,203.63,202.83,
91,41,8,7,2026-01-21,5,2.84,1.68,0,172,,0,WhatsApp,Efectivo,21.83,27.84,Revisar stock
92,56,8,6,2026-06-01,52,2.79,1.64,0,99,47,0,Delivery local,Transferencia,477.41,427.69,Revisar stock
93,1,8,7,2026-05-04,,"2,71",1.66, 12 ,154,103,0,Telefono,Tarjeta,339.85,353.05,Promocion
94,54,9,2,2026-04-04,25,9.37,6.95,12,153,128,0,delivery local,Efectivo,137.36,68.09,OK
95,88,5,3,2026-05-04,50,5.34,3.22,0,155,105,0,WhatsApp,Yape,281.59,202.66,Revisar stock
96,43,7,4,2026-06-24,66,15.88,"9,47",10,118,52,0,Delivery local,Yape,444.45,186.88 aprox,OK
97,45,12,5,2026-06-23, 52 ,4.96,3.54,0,200,148,0,Telefono,Efectivo,376.59,278.94,Revisar stock
98,27,11,4,25/03/2026,74,7.48,4.78,12,138,64,0,Telefono,Efectivo,390.09,285.54,Cliente frecuente
99,55,1,5,2026-02-03,73,28.29, 19.46 , 15 ,,175,0,  Telefono ,,488.59,-111.61 aprox,Revisar stock
100,83,6,3,2026-03-27,13,7.13,4.52,10,231,218,0,Telefono,Efectivo,89.05,,Revisar stock
101,20,7,5,2026-05-24,50,14.32,9.47,5,146,96,0,Mostrador,Efectivo,455.02,234.96,Revisar stock
102,10,10,3, 2026-06-15 ,61,9.98,5.82,3,236,175,0,Mostrador,Tarjeta,S/ 473.48,312.75,Revisar stock
103,66,5,1,25/06/2026,35,5.48,3.25,3,49,14,0,delivery local,Tarjeta,243.71,S/ 186.68,
104,53,3,7,2026-01-18,66,12.4,S/ 8.22,3,231,165,0,Mostrador,Plin,429.68,156.34,Promocion
105,13,1,6,2026-06-16,15,"26,72",19.48,3,113,98,0,Mostrador,Plin,120.33,-56.69,OK
106,10,4,2,2026-06-24,22,3.68,2.33,0,88,66,0,WhatsApp,Tarjeta,174.33,132.96,Promocion
107,30,8,1,2026-01-06,55,2.76,1.64, 15 ,159,104,0,Telefono,Transferencia,348.57,362.71,Revisar stock
108,41,5,1,2026-06-02,42,5.1,3.1,3,115,73,0,WhatsApp,Plin,306.69,261.62,
109,4,12,6,2026-02-02,26,4.94,3.39,0 aprox,84,57,1,WhatsApp,Plin,192.65,S/ 126.29,OK
110,60,3,4,2026-02-12,26,13.65,8.41,12,227,201,0,WhatsApp,Tarjeta,219.76,120.7,Cliente frecuente
111,10,6,4,2026-03-04,42,6.69,4.58,15,186,144,0 aprox,Mostrador,Tarjeta,269.99,208.41,Revisar stock
112,8,11,1,2026-05-05,56,7.39,4.62,8,225,169,0,Delivery local,Transferencia,333.55,224.84,OK
113,43,7,4,2026-06-24,66,15.88,"9,47",10,118,52,0,Delivery local,Yape,444.45,186.88 aprox,OK
114,20,2,7,04/01/2026,10,S/ 4.77,3.46 aprox,5,110,97,3,Telefono,,76.26,53.66,Promocion
115,43,4,3,2026-03-24,9,3.83,2.33,15 aprox,125,116,0,Delivery  local,Tarjeta, 62.5 ,60.18,
116,19,5,7,2026-05-11,54,5.42,3.29,5,67,10,3,Delivery local,Plin,234.69,"165,19",Cliente frecuente
117,34,8,3,2026-05-28,48,2.87,1.63,5,173,125,0,WhatsApp,Plin,,265.7,
118,21,1,2,2026-01-12,12,28.2,18.64,10,,207,0,Delivery local,Yape,143.34,-1.62,
119,1,5,2,2026-01-19,15,4.98,3.22,8,39,24,0,Telefono,Plin,96.55,72.04,Cliente frecuente
120,55,2,6,2026-03-20,58,4.72,S/ 3.41,12,251,193,0,WhatsApp,  Tarjeta ,525.39,474.01,OK
121,21,11,7,2026-02-09,55 aprox,7.43,4.9 aprox,3,76,21,0,  Delivery local ,Plin,1265.96,530.64,
122,65,3,2,2026-06-14,55,12.86,8.27,3,112,57,0,Delivery local,Transferencia,432.02,202.28,OK
123,60,6,2,2026-04-10,10,6.47,,8,206,196,0,Delivery local,efectivo,106.64,69.83,
124,37,8,4,2026-01-10,52,2.68,1.7,15,170 aprox,118,0,Delivery local,Plin,398.31,423.96 aprox,
125,88,3,3,2026-03-03,63,13.53,8.13,0,136,73,0,WhatsApp,Plin,607.87,351.96,Cliente frecuente
126,52,5,5,2026-01-07,30,5.1,3.11,5,97,66,1,WhatsApp,Transferencia,S/ 211.43,162.84,Promocion
127,32,10,4,2026-01-17,30,9.89,6.03,0,72,42,0,WhatsApp,Tarjeta,250.51,170.63,
128,15,8,6,2026-06-12,53,2.75,1.6,15 aprox,126,72,1,MoStRaDoR,Plin,301.59,"321,06",OK
129,38,2,5,2026-06-06,43,5.0,3.26,0,278,233,2,Delivery local,Yape,331.17,258.4,
130,29,6,5,05-03-2026,51,7.18,,12,161,110,0,Telefono,Plin,360.89,318.6,Revisar stock
131,5,7,3,2026-06-25,35,S/ 14.39,10.16,0,110 aprox,75,0,DeLiVeRy lOcAl,,245.77,53.65,Revisar stock
132,55,9,1,2026-03-14,30, 10.05 ,6.58,8,60,30,0,Delivery local,Transferencia,227.79,142.03,CLIENTE FRECUENTE
133,31,4,2,2026-05-04,44 aprox,3.89,2.2,12,62,18 aprox,0,Telefono,Plin,337.91 aprox,325.68,OK
134,54,9,5,2026-02-18,72,10.13,6.56,5,198,126,0,Telefono,Tarjeta,380.69,155.92,Revisar stock
135,20,9,5,2026-01-19,63,9.78,6.74,8,158,95,0,WhatsApp,Efectivo,539.01,"374,19",Cliente frecuente
136,86,6,7,10/05/2026,28,6.49,4.52,3,49,20,1,  Telefono ,Tarjeta, 261.43 ,199.48,Promocion
137,26,6,4,2026-02-17,16,6.59 aprox,4.47,12,241,225,0,Mostrador,Plin,96.32,56.29,Cliente frecuente
138,57,9,1,2026-05-16,43,"9,84",6.65,8,123,80,0,Mostrador,  Transferencia ,250.07,139.34,
139,48,7,4,2026-02-11, 31 ,15.67,9.67,12,73,42,,WhatsApp,Tarjeta,249.69,117.97,Promocion
140,26,11,6,2026-02-02,46, 7.46 ,4.7,0,225,179,0,WhatsApp,Plin,321.27,216.65,OK
141,83,11,6,2026-05-12,6,7.43,4.59,12,134,128,0,Mostrador,Yape,46.73,22.9,Promocion
142,42,1,2,2026-03-11,65,28.01,19.27,0,303,238,0,,Yape,415.83,-210.13,Cliente frecuente
143,47,3,5,,44,12.7,7.97,0,123,77,2,Delivery local,Yape,"280,2",67.56,  Cliente frecuente 
144,79,6,3,2026-03-21,45,6.51, 4.59 ,0,245,200 aprox,0,Mostrador,Plin,251.68,126.17,Revisar stock
145,2,7,1,2026-01-15,,S/ 15.11,9.76,15,89,58,0 aprox,Delivery local,,229.88,98.74,
146,28,10,4,2026-02-18,34,9.17,5.84,15,126,92,0,MOSTRADOR,Transferencia,255.26,206.39,
147,81,8,1,2026-06-12,71 aprox,2.72 aprox,1.66,12,221,150,0,Mostrador,Plin,454.68,450.81,Cliente frecuente
148,33,1,7, 2026-02-04 ,63,27.03,18.81,12,160,94,3,Delivery local,Yape,450.19,-133.83,Promocion
149,78,3,5,2026-06-22,18,13.19,8.3,15,235,217,0,  Mostrador ,Efectivo,173.65,88.59,Promocion
150,20,5,5,2026-01-23,41,5.12,3.17,3,130,89,0,Telefono,yape, 368.12 ,325.02,
151,9,6,3,2026-06-12,10,6.72,4.49,0,99,89,0,Mostrador,EFECTIVO,106.73,81.55,
152,27,7,6,2026/06/15,4,14.75,S/ 9.64,12,248,242 aprox,2 aprox,Mostrador,Tarjeta,68.28,-8.86,
153,6,2,4,2026-04-01,,5.15,3.39,0,177,146,0,Mostrador,YaPe,,231.78,Promocion
154,22,2,5,2026-06-09,38,5.11 aprox,3.26,3,70,32,0,Telefono,Transferencia,269.18,222.2,Promocion
155,46,4,4,2026-01-18,5,3.51,2.23,10,226,221,0,Mostrador,Efectivo,44.25,39.42,
156,24,10,1,2026-03-26,21,9.26,5.68,10,58,37,0,Delivery local,Tarjeta,124.23,S/ 71.63,
157,61,10,3,2026-01-05,74,9.19,5.63,15,199,125,0,telefono,Transferencia,392.13,270.89,OK
158,78,3,4,2026-03-03,74,13.0,7.8,8,113,39,0,WhatsApp,Yape,555.33,,OK
159,1,2,6,2026-02-05, 56 ,5.05,3.41,15,145,89,0,Delivery local,Plin,378.91,346.21,OK
160,58,9,2,2026-06-24,17 aprox,9.71,6.64,15,228,211,0,WhatsApp,Efectivo,148.3,92.49,
161,28,7,6,2026-03-14,61,14.94,9.93,0,274,213,0,Mostrador,Efectivo,406.56,105.9,
162,41,12,3,2026-02-17,17,5.28,3.28,10,42, 25 ,0,Delivery local,Transferencia,131.74,"92,55",OK
163,3,1,6,2026-06-03,58,29.25,18.7,0 aprox,83,25,0,WHATSAPP,Plin,463.5,-79.68,Promocion
164,29,9,1,2026-03-13,32,10.32,6.95,8,47,15,0,TELEFONO,Yape,207.48,118.25,OK
165,12,2,1,2026/03/07,7,5.07,3.38,3,102,93,2,WhatsApp,Yape,52.82,26.92,Cliente frecuente
166,67,10,7,08/01/2026, 44 ,9.83,6.03,0,273,229, 0 ,,Plin,262.1,89.81,
167,18,2,7,2026-05-07,7,4.77,3.42,0,217,,0,whatsapp,TARJETA,57.31,41.9,Cliente frecuente
168,13,4,7,2026-04-08,57,3.81,2.23,0,223,164,2,WhatsApp,Efectivo,399.72,332.25,Revisar stock
169,49,5,2,2026-04-27,67,4.96,3.29,3,92,24,1,WhatsApp,Yape,484.51,378.76,Cliente frecuente
170,63,4,2,2026-04-21,34, 3.88 ,2.2,8,204,170,0,Mostrador,Tarjeta,286.27,251.41,Revisar stock
171,40,10,5,2026-04-24,50,9.99 aprox,5.78,15,251 aprox,201,0,Mostrador,Tarjeta,270.16,162.85,
172,87,10,1,2026-01-20,32,9.31,5.99,10,252,220,0,Mostrador,Efectivo,"259,1",154.14,Revisar stock
173,88,9,1,2026-05-04,33,9.44,6.64,10,147,114,0,Mostrador,Plin,230.67,122.84,OK
174,24,1,4,2026-02-08,34,28.38,18.54 aprox,0,109,75,0,Mostrador,TaRjEtA,S/ 322.19,7.88,
175,47,8,1,2026-04-27,37,2.84,1.64,,233,196,0,Mostrador,Transferencia,215.63,184.41,Revisar stock
176,53,11,3,2026-02-02,8,7.26,4.66,8,76,,0,  Telefono ,,76.78,41.95,Cliente frecuente
177,48,1,1,2026-02-17,8,29.23, 18.86 ,8,203,194,1,,plin,S/ 111.28,-24.52,Promocion
178,13,7,5, 2026-02-22 ,48,14.35,10.1,15,174,126,0,TeLeFoNo,PLIN,272.42,68.21,  Revisar stock 
179,53,5,4,2026-06-23,74,S/ 5.37,3.25,15,157,83,0,,Yape,399.26,333.23,promocion
180,47,2,3,2026-01-20,62, 4.86 ,3.42,0, 235 ,173,0,Mostrador,Plin,410.96 aprox,314.59,
181,32,12,3,2026-03-21,60,S/ 5.21,3.29,8,296,236,0,Mostrador,Yape,412.57,336.61,revisar stock
182,83,7,4,2026-05-19,60,15.36,9.85,3,168,106,2,Delivery local,Transferencia,417.61,116.54,ReViSaR StOcK
183,71,4,7,2026-04-06,18,3.7,2.29,0,201,183,0,mostrador,PLIN,149.89,108.79,
184,68,3,6,2026-05-01,8,13.37,7.89,15,124,111,5,Delivery local,Yape,81.53,-16.07,OK
185,56,2,2,17-03-2026,44 aprox,4.69,3.44,0,223,178,1,Telefono,Transferencia,280.88,196.49,
186,7,9,3,2026-04-13,4,"10,03",6.87, 5 ,139,135,0,Mostrador,Plin,49.22,14.12,OK
187,29,1,3,,71,26.39,18.85,5,194,123 aprox,0,Telefono,,632.38,13.83,Revisar stock
188,38,7,2,2026-05-01,64,15.47,9.91,0 aprox,87,23,0,Telefono,Plin,418.07,96.56,  Revisar stock 
189,49,8,6,2026-04-15,28,2.87,1.65,8,146,118,0,Mostrador,Plin,,221.41,Revisar  stock
190,44,2,6,2026-03-08,10,5.17 aprox,3.48,0,94,84, 0 ,Telefono,Plin,99.06,74.81,
191,31,3,7,2026-02-13,58,13.46,"8,2",5,127 aprox,69,0,Telefono,Yape,"397,03",172.6,Promocion
192,82,10,4,2026-02-26,75,9.45, 5.64 ,5,229,154,0,Mostrador,Plin,681.31,517.38,Revisar stock
193,41,1,6,2026-03-19,66,29.07,19.63,,166,100,0,WhatsApp,Plin,490.72,-116.42,
194,66,2,2,10/05/2026,31,4.79,3.3,5,67,36,0,Telefono,Transferencia,252.93,215.24,Cliente  frecuente
195,17,4,6,2026-06-12,30,3.53,2.18,5,222,192,0,Mostrador,Plin,170.08,142.76,OK
196,90,12,6, 2026-06-10 ,44,5.52,3.45,3,168,124,0,WhatsApp,Transferencia,279.29,219.84 aprox,OK
197,72,10,1,2026-03-11,14,9.7,5.93,3,37,23,0,WhatsApp,Yape,118.36,71.35,OK
198,79,5,4,2026-03-26,72,5.37,3.14,5,,175,0,WhatsApp,Tarjeta,536.01,438.49,Cliente frecuente
199,69,4,3,2026-04-04,30,3.5,2.31,8,204,172,2,,Transferencia,217.62,196.2,
200,20,2,2,2026/03/16,17,4.73,3.44,,54,37,0,Telefono,,144.51,120.02,Cliente frecuente
201,10,11,7,2026-04-08,59 aprox,7.19,4.88,0,71,12,0,WhatsApp,Tarjeta,395.19,241.86,OK
202,37,11,6,2026-02-06,28,8.02,,5,163,135,0,Delivery local,Yape,211.4,163.96,Cliente frecuente
203,18,5,6,2026-01-18,42,4.97,3.15,12,280,238,0,Mostrador,Tarjeta,242.2,205.35,Promocion
204,33,9,4,2026-05-07,62,9.75,6.82,8,125,63,0,Mostrador,Efectivo,398.2,217.4,   
205,50,1,6,2026-04-27,11 aprox,28.23,19.58,0,227,216,0,Delivery local,Tarjeta,114.91,-28.2,
206,68,10,3,2026-02-27,10,9.67,5.7,0,63,53,0,Delivery local,Tarjeta,132.3,S/ 55.31,
207,34,9,6,,213,10.05,6.68,8,366,153,0,WhatsApp,Yape,1858.66,1369.91,
208,41,10,2,2026-03-04,46,9.06,5.74,15,196,149,1,Mostrador,Efectivo,352.76,"268,56",
209,25,3,5,2026-06-09,34,12.5,S/ 8.05,15,214,,0,Telefono,,222.0,116.57,OK
210,54,6,7,2026-06-19, 56 , 6.75 ,4.31,0,137, 80 ,1,Telefono,Plin,436.33,318.38,Promocion
211,15,11,7,2026-05-14,36,7.4,4.8,0,196,158, 2 ,Delivery local,Transferencia,386.51,268.38,Cliente frecuente
212,52,6,3,2026-06-11,73,6.99,4.55,0,287 aprox,214,0,Telefono,Efectivo,"704,37",544.29,OK
213,62,2,6,2026-03-21,43,4.72,3.38,0,200,157,0,Telefono,EFECTIVO,,275.29,OK
214,31,2,3,14-06-2026,63,4.99,3.26,15,133,70,0,MoStRaDoR,Plin,525.32,511.53,
215,20,4,6,2026-02-17,75,3.77,2.22,10,175,100,0,WhatsApp,Transferencia,543.64,521.43,Revisar stock
216,17,6,2,2026-05-28,51,6.71, 4.47 ,3,135,83,1,Delivery local,Efectivo,207.05,102.73 aprox,revisar stock
217,40,7,4,2026-04-07,64,14.74,10.01,3,, 107 ,0,Delivery local,Tarjeta,488.08,195.76,Revisar stock
218,22,5,7,2026-02-02,44,5.13,3.24,8,191,147 aprox,0,Telefono,Transferencia,274.79,219.76,
219,86,2,2,2026-04-23,20,4.63,3.32,8,62,41,1,Mostrador,Yape,111.62,76.51,Revisar stock
220,19,10,5,2026-03-27,10,9.51,5.75,0,231,221,0,WhatsApp,Transferencia,71.03,47.61,
221,21,6,2,2026-05-15,43,"7,04",4.27,3,170,126,1,Mostrador,YAPE,369.04,284.39,Promocion
222,74,1,4,2026-02-28,71,27.48,19.86,12, 200 ,129,0,delivery local,Yape,563.27,-46.95,Revisar stock
223,45,2,3,2026-02-09,,4.96,3.28,5,219,160,3,Delivery local,Yape,"362,03",305.09,
224,81,4,1,2026-05-07,51,3.78,2.24,12,64,13,0,  Delivery local ,Yape,361.72,358.95,
225,3,9,6,2026-03-05,65,10.13,6.84 aprox,3,110 aprox,45,0,,Yape,398.45, 183.6 ,Cliente frecuente
226,3,6,5,2026-01-08,37,6.7,4.35,0,73,36,0,WhatsApp,plin,233.72,"153,51",
227,60,8,3,2026-06-17,36,2.99,1.69,8,50,14 aprox,0,WhatsApp,Plin,S/ 288.89,268.22,Cliente frecuente
228,69,8,5,2026-03-18,42 aprox,2.89,1.61,10,236,194,0,WhatsApp,Efectivo,199.3,198.11,Promocion
229,41,9,3,16/05/2026,67,10.42,6.77,3,205,138,,Telefono,Yape,479.81,270.41,OK
230,65,4,5,08/05/2026,17, 3.61 ,2.29,0,96,79,0,,Efectivo,127.85,99.44,Promocion
231,45,10,3,2026-06-27,19,9.83,5.88,0,54,32,3,WhatsApp,Transferencia,161.59,81.81,
